"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02"
"United States",0,,,,,,,,,850,850,850,932,1000,1100,1293,1300,1300,1300,1300,1225,1100,1075,1111,1136,1150,1200,1250,1300,1270,1250,1200,1225,1200,1200,1221,1150,1250,1292,1300,1310,1321,1395,1400,1530,1615,1550,1601,1600,1600,1600,1602,1700,1700,1500,1500,1500,1475,1462,1425,1450,1490,1500,1500,1512,1500,1500,1500,1495,1490,1415,1447,1457,1500,1499,1495,1495,1475,1500,1480,1450,1500,1510,1409,1449,1400
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2150,2150,2225,2200,2225,2295,2350,2395,2400,2400,2400,2425,2450,2495,2495,2500,2475,2550,2500,2550,2600,2600,2525,2554,2600,2625,2550,2550,2500,2545,2550,2550,2595,2575,2200,2150,2150,2150,2150,2100,2100,2125,2150,2200,2250,2200,2100,2195,2152,2101.5,2100,2100,2100,2100,2100,2150,2200,2200,2200,2200,2275,2399,2300,2050,2100,2145
"Los Angeles-Long Beach-Anaheim, CA",2,,1375,1417.5,1415,1450,1500,1520,1375,1300,1350,1350,1252.5,1295,1300,1299,1300,1300,1295,1295,1275,1250,1225,1200,1250,1295,1320,1324.5,1325,1335,1330,1345,1385,1375,1370,1349,1355,1415,1450,1421,1437,1425,1399,1395,1395,1445,1350,1495,1485,1450,1425,1475,1540,1540,1557.5,1595,1625,1675,1680,1695,1695,1714,1702,1700,1720,1725,1735,1750,1750,1759.5,1800,1795,1825,1850,1880,1858,1850,1850,1880,1804,1843,1800,1810,1795,1855,1915
"Chicago, IL",3,,1100,1150,1100,1100,1000,985,1130,1250,1255,1294,1150,1222.5,1225,1250,1269,1341,1299,1257,1291,1250,1225,1295,1300,1235,1195,1150,1200,1268,1255,1250,1300,1380,1325,1375,1352,1495,1400,1449,1472,1500,1513,1525,1500,1480,1517,1595,1550,1456,1430,1400,1400,1429.5,1571,1400,1602,1632,1600,1350,1490,1595,1400,1400,1425,1400,1375,1383,1525,1600,1691,1608,1554,1650,1500,1465,1450,1425,1400,1400,1395,1395,1430,1450,1400,1400
"Dallas-Fort Worth, TX",4,,,,,,,,953,1061,1050,1000,907,845,846,828,825,842.5,850,730,735,699,685,714,738,777,807,775,794,795,785,775,794,797,800,827,930,825.5,848,850,864,880,895,850,960,1021,1055,1049,1025,999,1000,1020,969,991,940,925,923,939,1002.5,1009,1000,980,950,989,990,998,999,1013,1039,1030,1060,1060,1066,1079,1109,1090,1095,1089,1086,1083,1143.5,1083,1095,1050,1135,1139
"Philadelphia, PA",5,,,,,,,990,895,895,912.5,900,971.5,950,950,995,950,975,950,950,975,925,930,925,935,972.5,975,1000,999,995,975,995,975,989,993.5,950,925,950,975,980,1050,1001.5,975,950,950,950,990,975,925,945,950,975,1100,1100,1100,1100,1050,1050,1037,1000,1000,1015,1060,1125,1115,1100,1070.5,1100,1060,1050,1115,1070,1100,1100,1145,1175,1195,1175,1195,1155,1160,1195,1150,1190,1150,1200
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,975,1085,1005,994.5,1014,1043.5,1057,1050,1046,1050,1078,1020,1025,1020,1029,1050,1079.5,1099,1100,1100,1100,1110,1120,1240,1220,1240,1175,1200,1175,1165,1134,1115,1100,1113,1071,1012,1060,1100,1132
"Washington, DC",7,1300,1300,1399.5,1350,1395,1400,1365,1400,1400,1400,1412.5,1427,1400,1400,1450,1450,1490,1500,1750,1799.5,1790,1610.5,1635,1655,1694,1740,1745,1765,1795,1780,1710,1708,1705,1695,1720,1725.5,1723,1739.5,1699,1615,1650,1622,1695,1695,1683,1675,1640,1655,1649,1630,1650,1695,1700,1785,1800,1710,1695,1695,1695,1695,1729,1725,1750,1743,1745,1721.5,1730,1729,1715,1695,1695,1700,1722,1727,1730,1700,1720,1725,1680,1659,1646,1650,1650,1721,1750
"Miami-Fort Lauderdale, FL",8,1300,1299,1300,1275,1298,1200,1200,1300,1350,1325,1300,1299,1300,1300,1300,1290,1275,1250,1250,1250,1200,1250,1250,1250,1250,1250,1225,1200,1250,1250,1250,1200,1175,1175,1195,1195,1200,1200,1225,1250,1300,1450,1438,1400,1440,1450,1450,1400,1375,1335,1300,1350,1390,1395,1399,1400,1400,1425,1400,1450,1500,1500,1500,1575,1625,1600,1650,1600,1600,1650,1600,1650,1650,1656,1600,1600,1581,1500,1510,1580,1565,1600,1475,1550,1550
"Atlanta, GA",9,999.5,975,1000,1000,1050,1000,950,903,959,975,950,900,950,950,926,900,895,876,896,900,821.5,810,835,799,839.5,797,795,825,830,835,855,830,845,822,810,802,795,794.5,799,825,817.5,835,840,900,975,940,995.5,1033,1005.5,1015.5,1025,1018.5,1049,1050,1025,1050,1028.5,1030,1030,1060,1089.5,1079,1085,1118,1140,1139.5,1155,1140,1130,1169,1174,1175,1174,1200,1200,1095,1165,1151.5,1169,1205,1135,1140,1115,1200,1210
