RegionName,SizeRank,lat,lon,rent
"New York, NY",1,40.730599,-73.986581,2145
"Los Angeles, CA",2,34.054394,-118.243941,1915
"Chicago, IL",3,41.875555,-87.624421,1400
"Dallas-Fort Worth, TX",4,32.737923,-97.239428,1139
"Philadelphia, PA",5,39.952399,-75.16359,1200
"Houston, TX",6,29.758938,-95.367697,1132
"Washington, DC",7,38.894955,-77.036646,1750
"Miami-Fort Lauderdale, FL",8,26.091731,-80.13594,1550
"Atlanta, GA",9,33.749099,-84.390185,1210
"Boston, MA",10,42.360482,-71.059568,1975
"San Francisco, CA",11,37.779277,-122.41927,2623
"Detroit, MI",12,42.348664,-83.056737,750
"Riverside, CA",13,33.953355,-117.396162,1175
"Phoenix, AZ",14,33.446768,-112.075672,950
"Seattle, WA",15,47.603832,-122.330062,1695
"Minneapolis-St Paul, MN",16,44.9773,-93.265469,1225
"San Diego, CA",17,32.717421,-117.162771,1700
"St. Louis, MO",18,38.627273,-90.197889,695
"Tampa, FL",19,27.94776,-82.458444,1000
"Baltimore, MD",20,39.290861,-76.610807,1215
"Denver, CO",21,39.739154,-104.984703,1296.50
"Pittsburgh, PA",22,40.441694,-79.990086,890
"Portland, OR",23,45.520247,-122.674195,1325
"Charlotte, NC",24,35.227087,-80.843127,1100
"Sacramento, CA",25,38.581572,-121.4944,1165
"San Antonio, TX",26,29.4246,-98.49514,825
"Orlando, FL",27,28.542118,-81.379046,1068.50
"Cincinnati, OH",28,39.101454,-84.51246,755
"Cleveland, OH",29,41.505161,-81.693445,700
"Kansas City, MO",30,39.084469,-94.56303,834.50
"Las Vegas, NV",31,36.166286,-115.149225,900
"Columbus, OH",32,39.96226,-83.000706,775
"Indianapolis, IN",33,39.768333,-86.15835,800
"San Jose, CA",34,37.336191,-121.890583,2475
"Austin, TX",35,30.271129,-97.743699,1065
"Virginia Beach, VA",36,36.718371,-76.24668,950
"Nashville, TN",37,36.16223,-86.774353,1395
"Providence, RI",38,41.823989,-71.412834,1174
"Jacksonville, FL",39,30.332184,-81.655651,900
"Memphis, TN",40,35.149022,-90.051628,695
"Oklahoma City, OK",41,35.472989,-97.517054,659
"Louisville-Jefferson County, KY",42,38.209237,-85.70385,795
"Hartford, CT",43,41.763494,-72.683052,950
"Richmond, VA",44,37.538509,-77.43428,975
"New Orleans, LA",45,29.949932,-90.070116,1150
"Buffalo, NY",46,42.886717,-78.878392,825
"Raleigh, NC",47,35.780398,-78.639099,990
"Birmingham, AL",48,33.520682,-86.802433,805
"Salt Lake City, UT",49,40.767013,-111.890431,852.50
"Rochester, NY",50,43.157285,-77.615214,800
"Tucson, AZ",51,32.221742,-110.926476,625
"Urban Honolulu, HI",52,21.304547,-157.855676,1650
"Tulsa, OK",53,36.155681,-95.992911,615
"Fresno, CA",54,36.739442,-119.784831,625
"Worcester, MA",55,42.262593,-71.802293,950
"Stamford, CT",56,41.05343,-73.538734,1599.50
"Albuquerque, NM",57,35.084103,-106.650985,679
"Albany, NY",58,42.651167,-73.754968,1024
"Omaha, NE",59,41.258732,-95.937873,780
"New Haven, CT",60,41.308214,-72.925052,1000
"Bakersfield, CA",61,35.373871,-119.019464,650
"Ventura, CA",62,34.364744,-119.310582,1650
"Allentown, PA",63,40.602206,-75.471279,895
"El Paso, TX",64,31.811131,-106.501349,563
"Baton Rouge, LA",65,30.450746,-91.154551,955
"Columbia, SC",66,34.000749,-81.034331,785
"Akron, OH",67,41.083064,-81.518485,585
"North Port-Sarasota-Bradenton, FL",68,27.044224,-82.235925,1193
"Little Rock, AR",69,34.746481,-92.289595,660
"Stockton, CA",70,37.957702,-121.29078,797.50
"Charleston, SC",71,32.787601,-79.940273,1280
"Wichita, KS",72,37.692236,-97.337545,575
"Springfield, MA",73,42.101483,-72.589811,925
"Fort Myers, FL",74,26.640628,-81.872308,950
"Boise City, ID",75,43.598838,-116.243255,725
"Lakeland, FL",76,28.039465,-81.949804,670
"Daytona Beach, FL",77,29.210815,-81.022833,797.50
"Des Moines, IA",78,41.591064,-93.603715,849
"Youngstown, OH",79,41.09978,-80.649519,524
"Augusta, GA",80,33.470971,-81.974843,713.5
"Scranton, PA",81,41.408687,-75.662129,650
"Melbourne, FL",82,28.083627,-80.608109,750
"Spokane, WA",83,47.65886,-117.424713,725
"Lancaster, PA",84,40.03813,-76.305669,695
